attempt_id,test_id,total_time_seconds,score_correct,score_total,n_items,rapid_share,n_mc_items,median_mc_item_time,mc_revision_share,score,pace_seconds_per_item,label
03168965-8ad3-4a13-b038-d9a3c65cd0c3,math_algebra1_practice_2023,3021,15,18,18,0.05555555555555555,18,108.5,0.1111111111111111,0.8333333333333334,167.83333333333334,clean
032239e2-6242-427e-9b99-33f86a6df4ce,reading_grade5_2015,349,34,40,40,0.55,39,4.0,0.05128205128205128,0.85,8.725,clean
0325afbc-680f-42a9-be29-0912572b9dc4,reading_endofcourse_practice_2024,86024,23,29,29,0.0,29,30.0,0.034482758620689655,0.7931034482758621,2966.344827586207,clean
032cd1c2-168f-432d-8dbe-3b8c5728b929,reading_grade5_2015,450,35,40,40,0.25,39,6.0,0.15384615384615385,0.875,11.25,clean
0349561d-a765-42f8-a206-fa2cfe5860b2,reading_grade5_practice_2024,376,13,38,38,0.7368421052631579,38,2.0,0.02631578947368421,0.34210526315789475,9.894736842105264,clean
034eb09f-1857-4fbe-918a-e56d056b744e,reading_grade5_2015,6790,15,40,40,0.075,39,42.0,0.1794871794871795,0.375,169.75,clean
034f72fc-85bd-47d6-be23-1151c7857500,science_biology_2015,1038,42,46,46,0.0,40,13.0,0.2,0.9130434782608695,22.565217391304348,clean
0366b620-9d04-4aaa-bf18-f8513890e906,reading_grade5_practice_2024,1592,25,38,38,0.05263157894736842,38,22.5,0.0,0.6578947368421053,41.89473684210526,clean
0376b0bd-f94f-4d75-8d69-d254ff0b7e86,science_biology_2015,2495,36,46,46,0.0,40,28.0,0.125,0.782608695652174,54.23913043478261,clean
037b5c07-faec-4c4e-b19a-4f58b120efcb,math_grade4_practice_2023,1089,14,18,18,0.0,18,43.0,0.1111111111111111,0.7777777777777778,60.5,clean
03885111-8e4e-4487-a010-32acd99897cd,math_grade5_practice_2023,89,24,24,24,0.20833333333333334,24,3.0,0.0,1.0,3.7083333333333335,replay
0398f5b6-6f7f-40b8-a428-9a0d5314980c,science_grade5_2015,985,30,36,36,0.0,34,14.5,0.029411764705882353,0.8333333333333334,27.36111111111111,clean
039945b4-0e8f-4aaf-b87e-f91a59c2ee57,math_grade3_practice_2023,297,17,17,17,0.0,17,4.0,0.0,1.0,17.470588235294116,clean
039d1760-964a-44da-bd57-6366c95e33be,science_earth_sci_2015,920,34,45,45,0.0,39,9.0,0.07692307692307693,0.7555555555555555,20.444444444444443,clean
03b753c1-ae98-4515-8b03-e8067f414e2c,science_biology_2015,331,20,46,46,0.5869565217391305,40,4.0,0.0,0.43478260869565216,7.195652173913044,rushed_guess
03b7803d-a6e0-42d1-ac6c-d56a1ea2893a,math_grade3_practice_2023,61,17,17,17,0.11764705882352941,17,2.0,0.0,1.0,3.588235294117647,clean
03e4253f-aa6b-473e-af55-615c72cc88a0,math_grade3_practice_2023,161,17,17,17,0.0,17,5.0,0.0,1.0,9.470588235294118,clean
03edc3f4-fc54-4101-970f-9615240eaca4,math_algebra2_practice_2023,379,11,22,22,0.09090909090909091,22,5.0,0.045454545454545456,0.5,17.227272727272727,clean
03f08974-51b6-4c56-93d7-6db19cbd5cc9,math_grade4_practice_2023,160,18,18,18,0.0,18,6.0,0.05555555555555555,1.0,8.88888888888889,clean
03f2ba02-9329-4f46-b701-4677ccde3d08,math_grade5_practice_2023,1594,15,24,24,0.0,24,46.0,0.041666666666666664,0.625,66.41666666666667,clean
03f3566a-53e6-4bad-809b-99a83171f5c0,math_grade3_practice_2023,130,17,17,17,0.0,17,6.0,0.11764705882352941,1.0,7.647058823529412,clean
03f79f16-8d42-4245-a879-270bbf2ed79b,science_grade5_2015,671,28,36,36,0.0,34,14.5,0.058823529411764705,0.7777777777777778,18.63888888888889,clean
03fcc828-adec-4d9b-83cd-172d111ddbd9,math_geometry_2015,419,40,45,45,0.6888888888888889,37,3.0,0.05405405405405406,0.8888888888888888,9.311111111111112,clean
04034f46-6ec6-4c17-b455-1be4b375fa93,science_grade5_2015,768,35,36,36,0.0,34,17.0,0.0,0.9722222222222222,21.333333333333332,clean
0419ffb0-d5ac-4abd-b836-961cd77f6a6f,math_grade4_practice_2023,76,18,18,18,0.0,18,3.0,0.05555555555555555,1.0,4.222222222222222,clean
041c2fb7-494c-41eb-8837-b79adc660a39,math_grade5_practice_2023,778,23,24,24,0.0,24,28.0,0.125,0.9583333333333334,32.416666666666664,clean
041f338a-d5f0-441a-ba7a-c94ba5239ef4,math_grade6_practice_2023,889,18,23,23,0.0,23,21.0,0.043478260869565216,0.782608695652174,38.65217391304348,clean
042e0e7e-4f3e-46df-b598-bd4f29d7f826,reading_grade5_2015,122,40,40,40,0.875,39,2.0,0.02564102564102564,1.0,3.05,replay
0434016c-d435-4af9-8a15-5e71bcaba75f,science_grade5_2015,476,30,36,36,0.0,34,11.0,0.14705882352941177,0.8333333333333334,13.222222222222221,clean
043a11bc-8498-4efe-a043-c7e6ef73dce4,math_grade3_2014,2245,33,40,40,0.0,35,37.0,0.08571428571428572,0.825,56.125,clean
043baae3-e407-4d0a-9529-747e2d50c00c,reading_grade4_practice_2024,349,28,42,42,0.14285714285714285,42,5.0,0.047619047619047616,0.6666666666666666,8.30952380952381,clean
043fdad5-8ed5-4777-8d19-917c54e005fd,math_grade3_2014,2376,32,40,40,0.0,35,38.0,0.0,0.8,59.4,clean
04410a20-6d2d-4376-9829-a87e68454f77,math_algebra1_practice_2023,1837,16,18,18,0.0,18,102.5,0.2777777777777778,0.8888888888888888,102.05555555555556,clean
04499aff-bb39-45ce-8bfd-948cab0e37a8,reading_grade5_2015,1620,27,40,40,0.025,39,24.0,0.1282051282051282,0.675,40.5,clean
044b58db-4dfe-426d-ba17-a0269660765f,math_grade3_practice_2023,71,17,17,17,0.0,17,3.0,0.058823529411764705,1.0,4.176470588235294,clean
04500047-590c-4ec0-bdba-eaabc181a169,reading_grade3_2015,3567,36,40,40,0.0,38,45.5,0.05263157894736842,0.9,89.175,clean
045290d1-7858-4c14-b440-e337dfe0b998,math_grade3_practice_2023,283,13,17,17,0.0,17,10.0,0.29411764705882354,0.7647058823529411,16.647058823529413,clean
046113ec-38e0-40b2-b775-b36d67418047,math_grade6_practice_2023,1067,17,23,23,0.0,23,20.0,0.0,0.7391304347826086,46.391304347826086,clean
0465e31d-b90e-446b-87b4-38a168530f6f,science_grade5_2015,1635,31,36,36,0.0,34,23.0,0.0,0.8611111111111112,45.416666666666664,clean
046b03ea-5288-49af-8f96-1c8ec7634d5c,reading_grade7_2015,300,19,45,45,0.5111111111111111,45,4.0,0.044444444444444446,0.4222222222222222,6.666666666666667,rushed_guess
046ef2c8-0c19-4e66-adf7-5b8042e44b2e,reading_grade4_practice_2024,441,31,42,42,0.0,42,7.5,0.09523809523809523,0.7380952380952381,10.5,clean
04725774-e8e0-44fd-bf47-84514f883bb0,math_grade8_practice_2023,201,25,28,28,0.03571428571428571,28,4.5,0.0,0.8928571428571429,7.178571428571429,clean
04746dff-4450-409d-84a1-6a20e9ee9d80,science_grade5_2015,1218,34,36,36,0.027777777777777776,34,23.5,0.058823529411764705,0.9444444444444444,33.833333333333336,clean
0483c622-362d-40f2-a3ed-ff86aeecec25,science_biology_2015,255,43,46,46,0.7608695652173914,40,3.0,0.075,0.9347826086956522,5.543478260869565,replay
0485fb61-652a-4426-a14d-2e8d80c9042b,math_grade4_practice_2023,56,18,18,18,0.2222222222222222,18,2.0,0.0,1.0,3.111111111111111,replay
048ca398-38b6-4068-ae2f-523cc8b8ea5e,science_earth_sci_2015,435,28,45,45,0.08888888888888889,39,5.0,0.10256410256410256,0.6222222222222222,9.666666666666666,clean
0491b57f-af16-4d6a-9806-2954cc8a4119,math_grade8_practice_2023,131,25,28,28,0.32142857142857145,28,3.0,0.07142857142857142,0.8928571428571429,4.678571428571429,clean
04a7bcff-50d7-4f97-a008-585fcf6d8c0d,reading_grade6_practice_2024,147,23,29,29,0.10344827586206896,29,4.0,0.2413793103448276,0.7931034482758621,5.068965517241379,clean
04a7e9c6-1f53-47b9-a482-d79a804f8939,math_algebra1_2014,9347,32,50,50,0.0,43,113.0,0.0,0.64,186.94,clean
04a9145e-9d46-4445-948a-69f32d229e42,science_grade5_2015,156,35,36,36,0.4722222222222222,34,3.0,0.029411764705882353,0.9722222222222222,4.333333333333333,replay
04b3d8c6-8307-42d9-89fc-e99caa4e0e32,math_grade3_2014,385,35,40,40,0.375,35,4.0,0.02857142857142857,0.875,9.625,clean
